train_leads.py lv
[1][1/12][1/1] | loss: 6.545e-01 | loss_train: 2.211e-02 | loss_e0: 7.579e-01 | loss_e1: 1.301e+00 | loss_e2: 3.398e-01 | loss_e3: 3.574e-01 | loss_e4: 1.099e+00 | loss_e5: 4.943e-01 | loss_e6: 6.481e-01 | loss_e7: 1.206e+00 | loss_e8: 3.918e-02 | loss_e9: 3.020e-01
[2][2/12][1/1] | loss: 6.317e-01 | loss_train: 2.187e-02 | loss_e0: 7.175e-01 | loss_e1: 1.240e+00 | loss_e2: 3.239e-01 | loss_e3: 3.529e-01 | loss_e4: 1.053e+00 | loss_e5: 4.811e-01 | loss_e6: 6.570e-01 | loss_e7: 1.153e+00 | loss_e8: 3.736e-02 | loss_e9: 3.013e-01
[3][3/12][1/1] | loss: 6.099e-01 | loss_train: 2.230e-02 | loss_e0: 6.785e-01 | loss_e1: 1.181e+00 | loss_e2: 3.085e-01 | loss_e3: 3.488e-01 | loss_e4: 1.008e+00 | loss_e5: 4.684e-01 | loss_e6: 6.663e-01 | loss_e7: 1.100e+00 | loss_e8: 3.749e-02 | loss_e9: 3.007e-01
[4][4/12][1/1] | loss: 5.890e-01 | loss_train: 2.156e-02 | loss_e0: 6.406e-01 | loss_e1: 1.124e+00 | loss_e2: 2.942e-01 | loss_e3: 3.463e-01 | loss_e4: 9.658e-01 | loss_e5: 4.555e-01 | loss_e6: 6.746e-01 | loss_e7: 1.051e+00 | loss_e8: 3.918e-02 | loss_e9: 2.995e-01
[5][5/12][1/1] | loss: 5.686e-01 | loss_train: 2.127e-02 | loss_e0: 6.056e-01 | loss_e1: 1.066e+00 | loss_e2: 2.810e-01 | loss_e3: 3.433e-01 | loss_e4: 9.235e-01 | loss_e5: 4.433e-01 | loss_e6: 6.833e-01 | loss_e7: 1.001e+00 | loss_e8: 4.063e-02 | loss_e9: 2.981e-01
[6][6/12][1/1] | loss: 5.481e-01 | loss_train: 2.162e-02 | loss_e0: 5.700e-01 | loss_e1: 1.008e+00 | loss_e2: 2.687e-01 | loss_e3: 3.399e-01 | loss_e4: 8.809e-01 | loss_e5: 4.319e-01 | loss_e6: 6.923e-01 | loss_e7: 9.506e-01 | loss_e8: 4.229e-02 | loss_e9: 2.964e-01
[7][7/12][1/1] | loss: 5.273e-01 | loss_train: 2.124e-02 | loss_e0: 5.336e-01 | loss_e1: 9.484e-01 | loss_e2: 2.571e-01 | loss_e3: 3.363e-01 | loss_e4: 8.377e-01 | loss_e5: 4.208e-01 | loss_e6: 7.012e-01 | loss_e7: 8.995e-01 | loss_e8: 4.407e-02 | loss_e9: 2.944e-01
[8][8/12][1/1] | loss: 5.069e-01 | loss_train: 2.227e-02 | loss_e0: 4.971e-01 | loss_e1: 8.877e-01 | loss_e2: 2.464e-01 | loss_e3: 3.326e-01 | loss_e4: 7.943e-01 | loss_e5: 4.148e-01 | loss_e6: 7.109e-01 | loss_e7: 8.478e-01 | loss_e8: 4.592e-02 | loss_e9: 2.920e-01
[9][9/12][1/1] | loss: 4.863e-01 | loss_train: 2.094e-02 | loss_e0: 4.599e-01 | loss_e1: 8.251e-01 | loss_e2: 2.363e-01 | loss_e3: 3.286e-01 | loss_e4: 7.497e-01 | loss_e5: 4.090e-01 | loss_e6: 7.219e-01 | loss_e7: 7.947e-01 | loss_e8: 4.791e-02 | loss_e9: 2.902e-01
[10][10/12][1/1] | loss: 4.656e-01 | loss_train: 2.039e-02 | loss_e0: 4.224e-01 | loss_e1: 7.614e-01 | loss_e2: 2.269e-01 | loss_e3: 3.244e-01 | loss_e4: 7.046e-01 | loss_e5: 4.035e-01 | loss_e6: 7.342e-01 | loss_e7: 7.408e-01 | loss_e8: 4.997e-02 | loss_e9: 2.879e-01
[11][11/12][1/1] | loss: 4.451e-01 | loss_train: 2.063e-02 | loss_e0: 3.860e-01 | loss_e1: 6.972e-01 | loss_e2: 2.185e-01 | loss_e3: 3.206e-01 | loss_e4: 6.602e-01 | loss_e5: 3.980e-01 | loss_e6: 7.472e-01 | loss_e7: 6.870e-01 | loss_e8: 5.188e-02 | loss_e9: 2.847e-01
[12][12/12][1/1] | loss: 4.249e-01 | loss_train: 2.115e-02 | loss_e0: 3.511e-01 | loss_e1: 6.332e-01 | loss_e2: 2.114e-01 | loss_e3: 3.176e-01 | loss_e4: 6.176e-01 | loss_e5: 3.922e-01 | loss_e6: 7.585e-01 | loss_e7: 6.345e-01 | loss_e8: 5.317e-02 | loss_e9: 2.800e-01
