train_leads.py lv --device cuda:0
[1][1/12][1/1] | loss: 1.193e+00 | loss_train: 2.989e-02 | loss_e0: 5.881e-01 | loss_e1: 9.866e-01 | loss_e2: 1.275e+00 | loss_e3: 1.002e+00 | loss_e4: 1.356e+00 | loss_e5: 1.230e+00 | loss_e6: 1.389e+00 | loss_e7: 1.425e+00 | loss_e8: 1.490e+00
[2][2/12][1/1] | loss: 1.138e+00 | loss_train: 2.947e-02 | loss_e0: 5.521e-01 | loss_e1: 9.356e-01 | loss_e2: 1.213e+00 | loss_e3: 9.573e-01 | loss_e4: 1.304e+00 | loss_e5: 1.172e+00 | loss_e6: 1.329e+00 | loss_e7: 1.357e+00 | loss_e8: 1.421e+00
[3][3/12][1/1] | loss: 1.084e+00 | loss_train: 2.961e-02 | loss_e0: 5.174e-01 | loss_e1: 8.858e-01 | loss_e2: 1.152e+00 | loss_e3: 9.141e-01 | loss_e4: 1.254e+00 | loss_e5: 1.116e+00 | loss_e6: 1.271e+00 | loss_e7: 1.291e+00 | loss_e8: 1.353e+00
[4][4/12][1/1] | loss: 1.030e+00 | loss_train: 2.882e-02 | loss_e0: 4.832e-01 | loss_e1: 8.366e-01 | loss_e2: 1.092e+00 | loss_e3: 8.711e-01 | loss_e4: 1.204e+00 | loss_e5: 1.059e+00 | loss_e6: 1.212e+00 | loss_e7: 1.225e+00 | loss_e8: 1.286e+00
[5][5/12][1/1] | loss: 9.757e-01 | loss_train: 2.880e-02 | loss_e0: 4.495e-01 | loss_e1: 7.873e-01 | loss_e2: 1.032e+00 | loss_e3: 8.285e-01 | loss_e4: 1.155e+00 | loss_e5: 1.002e+00 | loss_e6: 1.152e+00 | loss_e7: 1.159e+00 | loss_e8: 1.217e+00
[6][6/12][1/1] | loss: 9.207e-01 | loss_train: 2.885e-02 | loss_e0: 4.160e-01 | loss_e1: 7.375e-01 | loss_e2: 9.712e-01 | loss_e3: 7.852e-01 | loss_e4: 1.105e+00 | loss_e5: 9.432e-01 | loss_e6: 1.092e+00 | loss_e7: 1.090e+00 | loss_e8: 1.146e+00
[7][7/12][1/1] | loss: 8.646e-01 | loss_train: 2.827e-02 | loss_e0: 3.828e-01 | loss_e1: 6.871e-01 | loss_e2: 9.088e-01 | loss_e3: 7.415e-01 | loss_e4: 1.054e+00 | loss_e5: 8.834e-01 | loss_e6: 1.029e+00 | loss_e7: 1.020e+00 | loss_e8: 1.074e+00
[8][8/12][1/1] | loss: 8.075e-01 | loss_train: 2.906e-02 | loss_e0: 3.504e-01 | loss_e1: 6.361e-01 | loss_e2: 8.447e-01 | loss_e3: 6.971e-01 | loss_e4: 1.002e+00 | loss_e5: 8.223e-01 | loss_e6: 9.657e-01 | loss_e7: 9.485e-01 | loss_e8: 1.000e+00
[9][9/12][1/1] | loss: 7.499e-01 | loss_train: 2.827e-02 | loss_e0: 3.189e-01 | loss_e1: 5.864e-01 | loss_e2: 7.807e-01 | loss_e3: 6.522e-01 | loss_e4: 9.499e-01 | loss_e5: 7.602e-01 | loss_e6: 9.006e-01 | loss_e7: 8.752e-01 | loss_e8: 9.249e-01
[10][10/12][1/1] | loss: 6.917e-01 | loss_train: 2.681e-02 | loss_e0: 2.889e-01 | loss_e1: 5.362e-01 | loss_e2: 7.158e-01 | loss_e3: 6.071e-01 | loss_e4: 8.971e-01 | loss_e5: 6.971e-01 | loss_e6: 8.342e-01 | loss_e7: 8.007e-01 | loss_e8: 8.484e-01
[11][11/12][1/1] | loss: 6.338e-01 | loss_train: 2.722e-02 | loss_e0: 2.609e-01 | loss_e1: 4.866e-01 | loss_e2: 6.508e-01 | loss_e3: 5.623e-01 | loss_e4: 8.446e-01 | loss_e5: 6.340e-01 | loss_e6: 7.672e-01 | loss_e7: 7.259e-01 | loss_e8: 7.719e-01
[12][12/12][1/1] | loss: 5.769e-01 | loss_train: 2.654e-02 | loss_e0: 2.374e-01 | loss_e1: 4.380e-01 | loss_e2: 5.863e-01 | loss_e3: 5.185e-01 | loss_e4: 7.929e-01 | loss_e5: 5.715e-01 | loss_e6: 7.002e-01 | loss_e7: 6.517e-01 | loss_e8: 6.960e-01
