train_leads.py gs
[1][1/12][1/1] | loss: nan | loss_train: 1.942e+12 | loss_e0: nan | loss_e1: nan | loss_e2: nan
[2][2/12][1/1] | loss: nan | loss_train: 5.999e+11 | loss_e0: nan | loss_e1: nan | loss_e2: nan
[3][3/12][1/1] | loss: nan | loss_train: 2.938e+11 | loss_e0: nan | loss_e1: nan | loss_e2: nan
[4][4/12][1/1] | loss: nan | loss_train: 2.877e+12 | loss_e0: nan | loss_e1: nan | loss_e2: nan
[5][5/12][1/1] | loss: nan | loss_train: 4.265e+19 | loss_e0: nan | loss_e1: nan | loss_e2: nan
[6][6/12][1/1] | loss: nan | loss_train: 1.147e+10 | loss_e0: nan | loss_e1: nan | loss_e2: nan
[7][7/12][1/1] | loss: nan | loss_train: 4.512e+20 | loss_e0: nan | loss_e1: nan | loss_e2: nan
[8][8/12][1/1] | loss: nan | loss_train: 3.233e+10 | loss_e0: nan | loss_e1: nan | loss_e2: nan
[9][9/12][1/1] | loss: nan | loss_train: 6.764e+09 | loss_e0: nan | loss_e1: nan | loss_e2: nan
[10][10/12][1/1] | loss: nan | loss_train: 2.238e+10 | loss_e0: nan | loss_e1: nan | loss_e2: nan
[11][11/12][1/1] | loss: nan | loss_train: 4.359e+10 | loss_e0: nan | loss_e1: nan | loss_e2: nan
[12][12/12][1/1] | loss: nan | loss_train: 5.734e+10 | loss_e0: nan | loss_e1: nan | loss_e2: nan
