train_leads.py gs
Calling the run method
[1][1/22][1/1] | loss: 9.092e-02 | loss_train: 1.065e-02 | loss_e0: 9.675e-02 | loss_e1: 4.539e-02 | loss_e2: 1.306e-01
[2][2/22][1/1] | loss: 8.881e-02 | loss_train: 1.061e-02 | loss_e0: 9.365e-02 | loss_e1: 4.491e-02 | loss_e2: 1.279e-01
[3][3/22][1/1] | loss: 8.675e-02 | loss_train: 1.056e-02 | loss_e0: 9.072e-02 | loss_e1: 4.446e-02 | loss_e2: 1.251e-01
[4][4/22][1/1] | loss: 8.468e-02 | loss_train: 1.052e-02 | loss_e0: 8.787e-02 | loss_e1: 4.405e-02 | loss_e2: 1.221e-01
[5][5/22][1/1] | loss: 8.255e-02 | loss_train: 1.059e-02 | loss_e0: 8.502e-02 | loss_e1: 4.366e-02 | loss_e2: 1.190e-01
[6][6/22][1/1] | loss: 8.032e-02 | loss_train: 1.042e-02 | loss_e0: 8.213e-02 | loss_e1: 4.330e-02 | loss_e2: 1.155e-01
[7][7/22][1/1] | loss: 7.797e-02 | loss_train: 1.042e-02 | loss_e0: 7.915e-02 | loss_e1: 4.299e-02 | loss_e2: 1.118e-01
[8][8/22][1/1] | loss: 7.547e-02 | loss_train: 1.030e-02 | loss_e0: 7.605e-02 | loss_e1: 4.274e-02 | loss_e2: 1.076e-01
[9][9/22][1/1] | loss: 7.282e-02 | loss_train: 1.024e-02 | loss_e0: 7.282e-02 | loss_e1: 4.258e-02 | loss_e2: 1.031e-01
[10][10/22][1/1] | loss: 7.003e-02 | loss_train: 1.017e-02 | loss_e0: 6.947e-02 | loss_e1: 4.254e-02 | loss_e2: 9.807e-02
[11][11/22][1/1] | loss: 6.711e-02 | loss_train: 1.010e-02 | loss_e0: 6.600e-02 | loss_e1: 4.264e-02 | loss_e2: 9.269e-02
[12][12/22][1/1] | loss: 6.411e-02 | loss_train: 1.002e-02 | loss_e0: 6.247e-02 | loss_e1: 4.292e-02 | loss_e2: 8.695e-02
[13][13/22][1/1] | loss: 6.109e-02 | loss_train: 9.942e-03 | loss_e0: 5.895e-02 | loss_e1: 4.340e-02 | loss_e2: 8.094e-02
[14][14/22][1/1] | loss: 5.814e-02 | loss_train: 9.898e-03 | loss_e0: 5.551e-02 | loss_e1: 4.412e-02 | loss_e2: 7.478e-02
[15][15/22][1/1] | loss: 5.536e-02 | loss_train: 1.046e-02 | loss_e0: 5.230e-02 | loss_e1: 4.510e-02 | loss_e2: 6.867e-02
[16][16/22][1/1] | loss: 5.287e-02 | loss_train: 9.909e-03 | loss_e0: 4.941e-02 | loss_e1: 4.639e-02 | loss_e2: 6.281e-02
[17][17/22][1/1] | loss: 5.084e-02 | loss_train: 9.639e-03 | loss_e0: 4.705e-02 | loss_e1: 4.800e-02 | loss_e2: 5.748e-02
[18][18/22][1/1] | loss: 4.938e-02 | loss_train: 9.585e-03 | loss_e0: 4.533e-02 | loss_e1: 4.991e-02 | loss_e2: 5.290e-02
[19][19/22][1/1] | loss: 4.850e-02 | loss_train: 9.547e-03 | loss_e0: 4.428e-02 | loss_e1: 5.197e-02 | loss_e2: 4.924e-02
[20][20/22][1/1] | loss: 4.807e-02 | loss_train: 1.056e-02 | loss_e0: 4.382e-02 | loss_e1: 5.392e-02 | loss_e2: 4.648e-02
[21][21/22][1/1] | loss: 4.806e-02 | loss_train: 1.184e-02 | loss_e0: 4.378e-02 | loss_e1: 5.592e-02 | loss_e2: 4.447e-02
[22][22/22][1/1] | loss: 4.802e-02 | loss_train: 9.670e-03 | loss_e0: 4.389e-02 | loss_e1: 5.711e-02 | loss_e2: 4.307e-02
