train_leads.py gs
Calling the run method
[1][1/400][1/1] | loss: 8.900e-02 | loss_train: 1.061e-02 | loss_e0: 9.325e-02 | loss_e1: 4.531e-02 | loss_e2: 1.284e-01
[2][2/400][1/1] | loss: 8.723e-02 | loss_train: 1.057e-02 | loss_e0: 9.088e-02 | loss_e1: 4.492e-02 | loss_e2: 1.259e-01
[3][3/400][1/1] | loss: 8.548e-02 | loss_train: 1.053e-02 | loss_e0: 8.854e-02 | loss_e1: 4.456e-02 | loss_e2: 1.233e-01
[4][4/400][1/1] | loss: 8.369e-02 | loss_train: 1.049e-02 | loss_e0: 8.617e-02 | loss_e1: 4.424e-02 | loss_e2: 1.207e-01
[5][5/400][1/1] | loss: 8.184e-02 | loss_train: 1.058e-02 | loss_e0: 8.371e-02 | loss_e1: 4.393e-02 | loss_e2: 1.179e-01
[6][6/400][1/1] | loss: 7.990e-02 | loss_train: 1.041e-02 | loss_e0: 8.114e-02 | loss_e1: 4.365e-02 | loss_e2: 1.149e-01
[7][7/400][1/1] | loss: 7.786e-02 | loss_train: 1.041e-02 | loss_e0: 7.844e-02 | loss_e1: 4.339e-02 | loss_e2: 1.118e-01
[8][8/400][1/1] | loss: 7.572e-02 | loss_train: 1.031e-02 | loss_e0: 7.562e-02 | loss_e1: 4.316e-02 | loss_e2: 1.084e-01
[9][9/400][1/1] | loss: 7.345e-02 | loss_train: 1.025e-02 | loss_e0: 7.267e-02 | loss_e1: 4.296e-02 | loss_e2: 1.047e-01
[10][10/400][1/1] | loss: 7.108e-02 | loss_train: 1.020e-02 | loss_e0: 6.961e-02 | loss_e1: 4.279e-02 | loss_e2: 1.008e-01
[11][11/400][1/1] | loss: 6.860e-02 | loss_train: 1.013e-02 | loss_e0: 6.648e-02 | loss_e1: 4.267e-02 | loss_e2: 9.666e-02
[12][12/400][1/1] | loss: 6.604e-02 | loss_train: 1.007e-02 | loss_e0: 6.332e-02 | loss_e1: 4.260e-02 | loss_e2: 9.219e-02
[13][13/400][1/1] | loss: 6.340e-02 | loss_train: 1.000e-02 | loss_e0: 6.019e-02 | loss_e1: 4.257e-02 | loss_e2: 8.743e-02
[14][14/400][1/1] | loss: 6.073e-02 | loss_train: 9.964e-03 | loss_e0: 5.718e-02 | loss_e1: 4.259e-02 | loss_e2: 8.241e-02
[15][15/400][1/1] | loss: 5.807e-02 | loss_train: 1.056e-02 | loss_e0: 5.438e-02 | loss_e1: 4.265e-02 | loss_e2: 7.717e-02
[16][16/400][1/1] | loss: 5.546e-02 | loss_train: 9.996e-03 | loss_e0: 5.187e-02 | loss_e1: 4.275e-02 | loss_e2: 7.178e-02
[17][17/400][1/1] | loss: 5.299e-02 | loss_train: 9.710e-03 | loss_e0: 4.975e-02 | loss_e1: 4.288e-02 | loss_e2: 6.634e-02
[18][18/400][1/1] | loss: 5.070e-02 | loss_train: 9.640e-03 | loss_e0: 4.808e-02 | loss_e1: 4.303e-02 | loss_e2: 6.099e-02
[19][19/400][1/1] | loss: 4.866e-02 | loss_train: 9.575e-03 | loss_e0: 4.686e-02 | loss_e1: 4.320e-02 | loss_e2: 5.591e-02
[20][20/400][1/1] | loss: 4.691e-02 | loss_train: 1.069e-02 | loss_e0: 4.606e-02 | loss_e1: 4.337e-02 | loss_e2: 5.129e-02
[21][21/400][1/1] | loss: 4.549e-02 | loss_train: 1.179e-02 | loss_e0: 4.564e-02 | loss_e1: 4.362e-02 | loss_e2: 4.720e-02
[22][22/400][1/1] | loss: 4.441e-02 | loss_train: 9.581e-03 | loss_e0: 4.547e-02 | loss_e1: 4.390e-02 | loss_e2: 4.387e-02
[23][23/400][1/1] | loss: 4.363e-02 | loss_train: 9.397e-03 | loss_e0: 4.527e-02 | loss_e1: 4.401e-02 | loss_e2: 4.162e-02
[24][24/400][1/1] | loss: 4.304e-02 | loss_train: 9.370e-03 | loss_e0: 4.494e-02 | loss_e1: 4.394e-02 | loss_e2: 4.023e-02
[25][25/400][1/1] | loss: 4.255e-02 | loss_train: 9.645e-03 | loss_e0: 4.443e-02 | loss_e1: 4.368e-02 | loss_e2: 3.953e-02
[26][26/400][1/1] | loss: 4.204e-02 | loss_train: 9.608e-03 | loss_e0: 4.369e-02 | loss_e1: 4.313e-02 | loss_e2: 3.931e-02
[27][27/400][1/1] | loss: 4.157e-02 | loss_train: 1.132e-02 | loss_e0: 4.294e-02 | loss_e1: 4.244e-02 | loss_e2: 3.933e-02
[28][28/400][1/1] | loss: 4.130e-02 | loss_train: 9.272e-03 | loss_e0: 4.239e-02 | loss_e1: 4.205e-02 | loss_e2: 3.947e-02
[29][29/400][1/1] | loss: 4.104e-02 | loss_train: 9.252e-03 | loss_e0: 4.197e-02 | loss_e1: 4.161e-02 | loss_e2: 3.954e-02
[30][30/400][1/1] | loss: 4.077e-02 | loss_train: 9.232e-03 | loss_e0: 4.171e-02 | loss_e1: 4.117e-02 | loss_e2: 3.943e-02
[31][31/400][1/1] | loss: 4.049e-02 | loss_train: 9.211e-03 | loss_e0: 4.160e-02 | loss_e1: 4.077e-02 | loss_e2: 3.911e-02
[32][32/400][1/1] | loss: 4.023e-02 | loss_train: 9.294e-03 | loss_e0: 4.164e-02 | loss_e1: 4.043e-02 | loss_e2: 3.861e-02
[33][33/400][1/1] | loss: 3.997e-02 | loss_train: 1.129e-02 | loss_e0: 4.175e-02 | loss_e1: 4.015e-02 | loss_e2: 3.800e-02
[34][34/400][1/1] | loss: 3.974e-02 | loss_train: 9.144e-03 | loss_e0: 4.182e-02 | loss_e1: 4.000e-02 | loss_e2: 3.739e-02
[35][35/400][1/1] | loss: 3.949e-02 | loss_train: 9.463e-03 | loss_e0: 4.186e-02 | loss_e1: 3.983e-02 | loss_e2: 3.678e-02
[36][36/400][1/1] | loss: 3.924e-02 | loss_train: 1.011e-02 | loss_e0: 4.192e-02 | loss_e1: 3.965e-02 | loss_e2: 3.616e-02
[37][37/400][1/1] | loss: 3.902e-02 | loss_train: 1.140e-02 | loss_e0: 4.197e-02 | loss_e1: 3.945e-02 | loss_e2: 3.564e-02
[38][38/400][1/1] | loss: 3.882e-02 | loss_train: 9.540e-03 | loss_e0: 4.196e-02 | loss_e1: 3.927e-02 | loss_e2: 3.523e-02
[39][39/400][1/1] | loss: 3.857e-02 | loss_train: 9.039e-03 | loss_e0: 4.178e-02 | loss_e1: 3.908e-02 | loss_e2: 3.485e-02
[40][40/400][1/1] | loss: 3.831e-02 | loss_train: 1.083e-02 | loss_e0: 4.152e-02 | loss_e1: 3.890e-02 | loss_e2: 3.451e-02
[41][41/400][1/1] | loss: 3.795e-02 | loss_train: 9.505e-03 | loss_e0: 4.094e-02 | loss_e1: 3.873e-02 | loss_e2: 3.417e-02
[42][42/400][1/1] | loss: 3.762e-02 | loss_train: 9.611e-03 | loss_e0: 4.041e-02 | loss_e1: 3.859e-02 | loss_e2: 3.385e-02
[43][43/400][1/1] | loss: 3.732e-02 | loss_train: 1.334e-02 | loss_e0: 3.996e-02 | loss_e1: 3.845e-02 | loss_e2: 3.355e-02
[44][44/400][1/1] | loss: 3.696e-02 | loss_train: 9.416e-03 | loss_e0: 3.934e-02 | loss_e1: 3.836e-02 | loss_e2: 3.317e-02
[45][45/400][1/1] | loss: 3.668e-02 | loss_train: 9.095e-03 | loss_e0: 3.895e-02 | loss_e1: 3.829e-02 | loss_e2: 3.282e-02
[46][46/400][1/1] | loss: 3.645e-02 | loss_train: 9.064e-03 | loss_e0: 3.868e-02 | loss_e1: 3.821e-02 | loss_e2: 3.247e-02
[47][47/400][1/1] | loss: 3.622e-02 | loss_train: 1.324e-02 | loss_e0: 3.849e-02 | loss_e1: 3.805e-02 | loss_e2: 3.212e-02
[48][48/400][1/1] | loss: 3.597e-02 | loss_train: 9.553e-03 | loss_e0: 3.833e-02 | loss_e1: 3.790e-02 | loss_e2: 3.169e-02
[49][49/400][1/1] | loss: 3.569e-02 | loss_train: 9.109e-03 | loss_e0: 3.814e-02 | loss_e1: 3.763e-02 | loss_e2: 3.130e-02
[50][50/400][1/1] | loss: 3.542e-02 | loss_train: 1.074e-02 | loss_e0: 3.792e-02 | loss_e1: 3.737e-02 | loss_e2: 3.097e-02

Print loss test
: [0.03943244367837906, 0.052253685891628265, 0.03768560662865639, 0.038811095058918, 0.040984153747558594, 0.03830699250102043, 0.03694887086749077, 0.036937009543180466, 0.03773213177919388, 0.036146823316812515, 0.041566118597984314, 0.03878912702202797, 0.03836841881275177, 0.038166165351867676, 0.038765594363212585, 0.036908917129039764, 0.038508232682943344, 0.036769166588783264, 0.041239261627197266, 0.03760354593396187, 0.03920162096619606, 0.035996176302433014, 0.041227903217077255, 0.0420670360326767, 0.03683193400502205, 0.03572240099310875, 0.0373622328042984, 0.03909079357981682, 0.040447838604450226, 0.040901049971580505, 0.03873583301901817, 0.037707019597291946]
[50][50/400][1/1] | loss_test_mean: 3.898e-02 | loss_test_std: 2.971e-03
[51][51/400][1/1] | loss: 3.517e-02 | loss_train: 9.217e-03 | loss_e0: 3.769e-02 | loss_e1: 3.716e-02 | loss_e2: 3.065e-02
[52][52/400][1/1] | loss: 3.494e-02 | loss_train: 9.530e-03 | loss_e0: 3.744e-02 | loss_e1: 3.700e-02 | loss_e2: 3.039e-02
[53][53/400][1/1] | loss: 3.476e-02 | loss_train: 8.922e-03 | loss_e0: 3.721e-02 | loss_e1: 3.688e-02 | loss_e2: 3.020e-02
[54][54/400][1/1] | loss: 3.463e-02 | loss_train: 8.857e-03 | loss_e0: 3.701e-02 | loss_e1: 3.681e-02 | loss_e2: 3.007e-02
[55][55/400][1/1] | loss: 3.453e-02 | loss_train: 9.573e-03 | loss_e0: 3.686e-02 | loss_e1: 3.677e-02 | loss_e2: 2.998e-02
[56][56/400][1/1] | loss: 3.448e-02 | loss_train: 9.165e-03 | loss_e0: 3.677e-02 | loss_e1: 3.676e-02 | loss_e2: 2.991e-02
[57][57/400][1/1] | loss: 3.447e-02 | loss_train: 9.025e-03 | loss_e0: 3.675e-02 | loss_e1: 3.681e-02 | loss_e2: 2.985e-02
[58][58/400][1/1] | loss: 3.447e-02 | loss_train: 9.010e-03 | loss_e0: 3.680e-02 | loss_e1: 3.684e-02 | loss_e2: 2.976e-02
[59][59/400][1/1] | loss: 3.442e-02 | loss_train: 9.517e-03 | loss_e0: 3.685e-02 | loss_e1: 3.680e-02 | loss_e2: 2.962e-02
[60][60/400][1/1] | loss: 3.430e-02 | loss_train: 9.245e-03 | loss_e0: 3.688e-02 | loss_e1: 3.668e-02 | loss_e2: 2.936e-02
[61][61/400][1/1] | loss: 3.421e-02 | loss_train: 1.130e-02 | loss_e0: 3.692e-02 | loss_e1: 3.658e-02 | loss_e2: 2.913e-02
[62][62/400][1/1] | loss: 3.407e-02 | loss_train: 9.004e-03 | loss_e0: 3.690e-02 | loss_e1: 3.639e-02 | loss_e2: 2.892e-02
[63][63/400][1/1] | loss: 3.401e-02 | loss_train: 1.123e-02 | loss_e0: 3.688e-02 | loss_e1: 3.635e-02 | loss_e2: 2.880e-02
[64][64/400][1/1] | loss: 3.398e-02 | loss_train: 8.950e-03 | loss_e0: 3.680e-02 | loss_e1: 3.647e-02 | loss_e2: 2.868e-02
[65][65/400][1/1] | loss: 3.403e-02 | loss_train: 9.308e-03 | loss_e0: 3.675e-02 | loss_e1: 3.670e-02 | loss_e2: 2.865e-02
[66][66/400][1/1] | loss: 3.408e-02 | loss_train: 8.887e-03 | loss_e0: 3.675e-02 | loss_e1: 3.683e-02 | loss_e2: 2.865e-02
[67][67/400][1/1] | loss: 3.407e-02 | loss_train: 8.901e-03 | loss_e0: 3.674e-02 | loss_e1: 3.683e-02 | loss_e2: 2.865e-02
