train_leads.py gs
[1][1/1200][1/1] | loss: 9.959e-02 | loss_train: 1.091e-02 | loss_e0: 9.579e-02 | loss_e1: 5.455e-02 | loss_e2: 1.484e-01
[2][2/1200][1/1] | loss: 5.577e-02 | loss_train: 9.839e-03 | loss_e0: 4.455e-02 | loss_e1: 7.290e-02 | loss_e2: 4.987e-02
[3][3/1200][1/1] | loss: 5.247e-02 | loss_train: 9.767e-03 | loss_e0: 4.665e-02 | loss_e1: 7.226e-02 | loss_e2: 3.850e-02
[4][4/1200][1/1] | loss: 4.490e-02 | loss_train: 9.381e-03 | loss_e0: 4.430e-02 | loss_e1: 5.395e-02 | loss_e2: 3.645e-02
[5][5/1200][1/1] | loss: 3.794e-02 | loss_train: 9.204e-03 | loss_e0: 3.928e-02 | loss_e1: 4.014e-02 | loss_e2: 3.440e-02
[6][6/1200][1/1] | loss: 3.741e-02 | loss_train: 8.937e-03 | loss_e0: 3.660e-02 | loss_e1: 4.349e-02 | loss_e2: 3.213e-02
[7][7/1200][1/1] | loss: 3.998e-02 | loss_train: 9.057e-03 | loss_e0: 3.671e-02 | loss_e1: 5.293e-02 | loss_e2: 3.030e-02
[8][8/1200][1/1] | loss: 3.936e-02 | loss_train: 8.908e-03 | loss_e0: 3.722e-02 | loss_e1: 5.196e-02 | loss_e2: 2.891e-02
[9][9/1200][1/1] | loss: 3.590e-02 | loss_train: 8.776e-03 | loss_e0: 3.663e-02 | loss_e1: 4.327e-02 | loss_e2: 2.780e-02
[10][10/1200][1/1] | loss: 3.261e-02 | loss_train: 8.634e-03 | loss_e0: 3.525e-02 | loss_e1: 3.580e-02 | loss_e2: 2.677e-02
[11][11/1200][1/1] | loss: 3.091e-02 | loss_train: 8.543e-03 | loss_e0: 3.376e-02 | loss_e1: 3.312e-02 | loss_e2: 2.585e-02
[12][12/1200][1/1] | loss: 3.062e-02 | loss_train: 8.513e-03 | loss_e0: 3.251e-02 | loss_e1: 3.422e-02 | loss_e2: 2.511e-02
[13][13/1200][1/1] | loss: 3.083e-02 | loss_train: 8.507e-03 | loss_e0: 3.161e-02 | loss_e1: 3.633e-02 | loss_e2: 2.456e-02
[14][14/1200][1/1] | loss: 3.084e-02 | loss_train: 8.531e-03 | loss_e0: 3.113e-02 | loss_e1: 3.722e-02 | loss_e2: 2.416e-02
[15][15/1200][1/1] | loss: 3.044e-02 | loss_train: 8.749e-03 | loss_e0: 3.105e-02 | loss_e1: 3.627e-02 | loss_e2: 2.401e-02
[16][16/1200][1/1] | loss: 2.990e-02 | loss_train: 8.447e-03 | loss_e0: 3.103e-02 | loss_e1: 3.436e-02 | loss_e2: 2.431e-02
[17][17/1200][1/1] | loss: 2.934e-02 | loss_train: 8.294e-03 | loss_e0: 3.097e-02 | loss_e1: 3.241e-02 | loss_e2: 2.462e-02
[18][18/1200][1/1] | loss: 2.870e-02 | loss_train: 8.218e-03 | loss_e0: 3.080e-02 | loss_e1: 3.101e-02 | loss_e2: 2.429e-02
[19][19/1200][1/1] | loss: 2.804e-02 | loss_train: 8.141e-03 | loss_e0: 3.045e-02 | loss_e1: 3.023e-02 | loss_e2: 2.344e-02
[20][20/1200][1/1] | loss: 2.755e-02 | loss_train: 8.658e-03 | loss_e0: 3.001e-02 | loss_e1: 2.993e-02 | loss_e2: 2.272e-02
[21][21/1200][1/1] | loss: 2.730e-02 | loss_train: 9.559e-03 | loss_e0: 2.965e-02 | loss_e1: 2.978e-02 | loss_e2: 2.248e-02
[22][22/1200][1/1] | loss: 2.743e-02 | loss_train: 8.077e-03 | loss_e0: 2.961e-02 | loss_e1: 2.990e-02 | loss_e2: 2.277e-02
[23][23/1200][1/1] | loss: 2.745e-02 | loss_train: 7.944e-03 | loss_e0: 2.955e-02 | loss_e1: 3.002e-02 | loss_e2: 2.277e-02
[24][24/1200][1/1] | loss: 2.717e-02 | loss_train: 7.876e-03 | loss_e0: 2.912e-02 | loss_e1: 2.990e-02 | loss_e2: 2.249e-02
[25][25/1200][1/1] | loss: 2.668e-02 | loss_train: 8.015e-03 | loss_e0: 2.849e-02 | loss_e1: 2.943e-02 | loss_e2: 2.211e-02
[26][26/1200][1/1] | loss: 2.616e-02 | loss_train: 7.844e-03 | loss_e0: 2.800e-02 | loss_e1: 2.864e-02 | loss_e2: 2.185e-02
[27][27/1200][1/1] | loss: 2.590e-02 | loss_train: 9.487e-03 | loss_e0: 2.794e-02 | loss_e1: 2.798e-02 | loss_e2: 2.178e-02
[28][28/1200][1/1] | loss: 2.597e-02 | loss_train: 7.590e-03 | loss_e0: 2.759e-02 | loss_e1: 2.862e-02 | loss_e2: 2.170e-02
[29][29/1200][1/1] | loss: 2.701e-02 | loss_train: 7.568e-03 | loss_e0: 2.732e-02 | loss_e1: 3.207e-02 | loss_e2: 2.162e-02
[30][30/1200][1/1] | loss: 2.777e-02 | loss_train: 7.541e-03 | loss_e0: 2.702e-02 | loss_e1: 3.489e-02 | loss_e2: 2.140e-02
[31][31/1200][1/1] | loss: 2.747e-02 | loss_train: 7.469e-03 | loss_e0: 2.669e-02 | loss_e1: 3.459e-02 | loss_e2: 2.114e-02
[32][32/1200][1/1] | loss: 2.664e-02 | loss_train: 7.486e-03 | loss_e0: 2.694e-02 | loss_e1: 3.186e-02 | loss_e2: 2.112e-02
[33][33/1200][1/1] | loss: 2.594e-02 | loss_train: 8.802e-03 | loss_e0: 2.790e-02 | loss_e1: 2.848e-02 | loss_e2: 2.143e-02
[34][34/1200][1/1] | loss: 2.618e-02 | loss_train: 7.206e-03 | loss_e0: 2.694e-02 | loss_e1: 3.026e-02 | loss_e2: 2.132e-02
[35][35/1200][1/1] | loss: 2.652e-02 | loss_train: 7.393e-03 | loss_e0: 2.728e-02 | loss_e1: 3.111e-02 | loss_e2: 2.116e-02
[36][36/1200][1/1] | loss: 2.443e-02 | loss_train: 7.868e-03 | loss_e0: 2.595e-02 | loss_e1: 2.716e-02 | loss_e2: 2.018e-02
[37][37/1200][1/1] | loss: 2.497e-02 | loss_train: 8.786e-03 | loss_e0: 2.949e-02 | loss_e1: 2.541e-02 | loss_e2: 2.000e-02
[38][38/1200][1/1] | loss: 2.429e-02 | loss_train: 7.119e-03 | loss_e0: 2.677e-02 | loss_e1: 2.619e-02 | loss_e2: 1.992e-02
[39][39/1200][1/1] | loss: 2.625e-02 | loss_train: 6.834e-03 | loss_e0: 2.887e-02 | loss_e1: 2.802e-02 | loss_e2: 2.186e-02
[40][40/1200][1/1] | loss: 2.770e-02 | loss_train: 7.861e-03 | loss_e0: 2.998e-02 | loss_e1: 3.176e-02 | loss_e2: 2.138e-02
[41][41/1200][1/1] | loss: 2.497e-02 | loss_train: 7.134e-03 | loss_e0: 2.713e-02 | loss_e1: 2.786e-02 | loss_e2: 1.993e-02
[42][42/1200][1/1] | loss: 2.184e-02 | loss_train: 7.079e-03 | loss_e0: 2.272e-02 | loss_e1: 2.382e-02 | loss_e2: 1.898e-02
[43][43/1200][1/1] | loss: 3.233e-02 | loss_train: 9.681e-03 | loss_e0: 4.538e-02 | loss_e1: 3.226e-02 | loss_e2: 1.935e-02
