Number of learnable parameters: 50402
train_leads.py sm --device cuda:0
Calling the run method
[1][1/4000][1/1] | loss: 3.315e+00 | loss_train: 5.586e-01 | loss_e0: 6.601e+00 | loss_e1: 6.412e+00 | loss_e2: 6.231e+00 | loss_e3: 6.617e+00 | loss_e4: 5.866e+00 | loss_e5: 6.253e+00 | loss_e6: 5.905e+00 | loss_e7: 4.067e+00 | loss_e8: 3.570e+00 | loss_e9: 3.050e+00 | loss_e10: 2.821e+00 | loss_e11: 2.280e+00 | loss_e12: 1.726e+00 | loss_e13: 1.800e+00 | loss_e14: 1.157e+00 | loss_e15: 1.100e+00 | loss_e16: 1.022e+00 | loss_e17: 8.951e-01 | loss_e18: 7.663e-01 | loss_e19: 7.236e-01 | loss_e20: 7.567e-01
[2][2/4000][1/1] | loss: 2.201e+00 | loss_train: 5.296e-01 | loss_e0: 4.828e+00 | loss_e1: 4.592e+00 | loss_e2: 4.552e+00 | loss_e3: 4.762e+00 | loss_e4: 4.205e+00 | loss_e5: 4.344e+00 | loss_e6: 4.038e+00 | loss_e7: 2.531e+00 | loss_e8: 2.092e+00 | loss_e9: 1.720e+00 | loss_e10: 1.622e+00 | loss_e11: 1.296e+00 | loss_e12: 9.365e-01 | loss_e13: 9.965e-01 | loss_e14: 7.215e-01 | loss_e15: 6.328e-01 | loss_e16: 6.367e-01 | loss_e17: 5.655e-01 | loss_e18: 4.270e-01 | loss_e19: 3.741e-01 | loss_e20: 3.566e-01
[3][3/4000][1/1] | loss: 1.613e+00 | loss_train: 4.710e-01 | loss_e0: 3.661e+00 | loss_e1: 3.424e+00 | loss_e2: 3.440e+00 | loss_e3: 3.567e+00 | loss_e4: 3.139e+00 | loss_e5: 3.200e+00 | loss_e6: 2.864e+00 | loss_e7: 1.627e+00 | loss_e8: 1.290e+00 | loss_e9: 1.021e+00 | loss_e10: 1.334e+00 | loss_e11: 7.867e-01 | loss_e12: 5.857e-01 | loss_e13: 6.417e-01 | loss_e14: 6.096e-01 | loss_e15: 5.603e-01 | loss_e16: 5.337e-01 | loss_e17: 5.231e-01 | loss_e18: 4.010e-01 | loss_e19: 3.474e-01 | loss_e20: 3.115e-01
[4][4/4000][1/1] | loss: 1.259e+00 | loss_train: 4.466e-01 | loss_e0: 2.841e+00 | loss_e1: 2.625e+00 | loss_e2: 2.663e+00 | loss_e3: 2.742e+00 | loss_e4: 2.416e+00 | loss_e5: 2.415e+00 | loss_e6: 2.078e+00 | loss_e7: 1.062e+00 | loss_e8: 8.271e-01 | loss_e9: 6.399e-01 | loss_e10: 1.086e+00 | loss_e11: 5.269e-01 | loss_e12: 4.489e-01 | loss_e13: 5.028e-01 | loss_e14: 6.210e-01 | loss_e15: 6.065e-01 | loss_e16: 5.477e-01 | loss_e17: 5.744e-01 | loss_e18: 4.660e-01 | loss_e19: 3.955e-01 | loss_e20: 3.570e-01
[5][5/4000][1/1] | loss: 1.030e+00 | loss_train: 4.351e-01 | loss_e0: 2.242e+00 | loss_e1: 2.052e+00 | loss_e2: 2.102e+00 | loss_e3: 2.149e+00 | loss_e4: 1.896e+00 | loss_e5: 1.850e+00 | loss_e6: 1.533e+00 | loss_e7: 7.017e-01 | loss_e8: 5.512e-01 | loss_e9: 4.300e-01 | loss_e10: 8.628e-01 | loss_e11: 4.035e-01 | loss_e12: 4.094e-01 | loss_e13: 4.620e-01 | loss_e14: 6.648e-01 | loss_e15: 6.742e-01 | loss_e16: 6.080e-01 | loss_e17: 6.529e-01 | loss_e18: 5.376e-01 | loss_e19: 4.451e-01 | loss_e20: 4.030e-01
[6][6/4000][1/1] | loss: 8.753e-01 | loss_train: 3.991e-01 | loss_e0: 1.798e+00 | loss_e1: 1.632e+00 | loss_e2: 1.693e+00 | loss_e3: 1.714e+00 | loss_e4: 1.515e+00 | loss_e5: 1.434e+00 | loss_e6: 1.162e+00 | loss_e7: 4.718e-01 | loss_e8: 3.818e-01 | loss_e9: 3.121e-01 | loss_e10: 6.753e-01 | loss_e11: 3.520e-01 | loss_e12: 3.992e-01 | loss_e13: 4.591e-01 | loss_e14: 7.053e-01 | loss_e15: 7.363e-01 | loss_e16: 6.789e-01 | loss_e17: 7.329e-01 | loss_e18: 6.023e-01 | loss_e19: 4.868e-01 | loss_e20: 4.391e-01
[7][7/4000][1/1] | loss: 7.670e-01 | loss_train: 3.765e-01 | loss_e0: 1.469e+00 | loss_e1: 1.327e+00 | loss_e2: 1.396e+00 | loss_e3: 1.395e+00 | loss_e4: 1.237e+00 | loss_e5: 1.132e+00 | loss_e6: 9.027e-01 | loss_e7: 3.253e-01 | loss_e8: 2.744e-01 | loss_e9: 2.414e-01 | loss_e10: 5.328e-01 | loss_e11: 3.276e-01 | loss_e12: 3.845e-01 | loss_e13: 4.564e-01 | loss_e14: 7.316e-01 | loss_e15: 7.860e-01 | loss_e16: 7.347e-01 | loss_e17: 8.008e-01 | loss_e18: 6.570e-01 | loss_e19: 5.214e-01 | loss_e20: 4.735e-01
[8][8/4000][1/1] | loss: 6.892e-01 | loss_train: 3.545e-01 | loss_e0: 1.223e+00 | loss_e1: 1.101e+00 | loss_e2: 1.178e+00 | loss_e3: 1.159e+00 | loss_e4: 1.034e+00 | loss_e5: 9.121e-01 | loss_e6: 7.196e-01 | loss_e7: 2.300e-01 | loss_e8: 2.017e-01 | loss_e9: 1.923e-01 | loss_e10: 4.319e-01 | loss_e11: 3.049e-01 | loss_e12: 3.584e-01 | loss_e13: 4.435e-01 | loss_e14: 7.486e-01 | loss_e15: 8.282e-01 | loss_e16: 7.834e-01 | loss_e17: 8.548e-01 | loss_e18: 7.046e-01 | loss_e19: 5.528e-01 | loss_e20: 5.097e-01
[9][9/4000][1/1] | loss: 6.318e-01 | loss_train: 3.324e-01 | loss_e0: 1.038e+00 | loss_e1: 9.361e-01 | loss_e2: 1.018e+00 | loss_e3: 9.852e-01 | loss_e4: 8.850e-01 | loss_e5: 7.520e-01 | loss_e6: 5.893e-01 | loss_e7: 1.663e-01 | loss_e8: 1.493e-01 | loss_e9: 1.530e-01 | loss_e10: 3.657e-01 | loss_e11: 2.758e-01 | loss_e12: 3.242e-01 | loss_e13: 4.199e-01 | loss_e14: 7.598e-01 | loss_e15: 8.642e-01 | loss_e16: 8.218e-01 | loss_e17: 8.939e-01 | loss_e18: 7.445e-01 | loss_e19: 5.795e-01 | loss_e20: 5.455e-01
[10][10/4000][1/1] | loss: 5.877e-01 | loss_train: 3.122e-01 | loss_e0: 8.981e-01 | loss_e1: 8.143e-01 | loss_e2: 8.994e-01 | loss_e3: 8.572e-01 | loss_e4: 7.754e-01 | loss_e5: 6.354e-01 | loss_e6: 4.956e-01 | loss_e7: 1.227e-01 | loss_e8: 1.100e-01 | loss_e9: 1.194e-01 | loss_e10: 3.233e-01 | loss_e11: 2.413e-01 | loss_e12: 2.873e-01 | loss_e13: 3.897e-01 | loss_e14: 7.663e-01 | loss_e15: 8.931e-01 | loss_e16: 8.476e-01 | loss_e17: 9.174e-01 | loss_e18: 7.746e-01 | loss_e19: 5.980e-01 | loss_e20: 5.751e-01
[11][11/4000][1/1] | loss: 5.509e-01 | loss_train: 2.947e-01 | loss_e0: 7.927e-01 | loss_e1: 7.243e-01 | loss_e2: 8.106e-01 | loss_e3: 7.632e-01 | loss_e4: 6.933e-01 | loss_e5: 5.490e-01 | loss_e6: 4.264e-01 | loss_e7: 9.216e-02 | loss_e8: 8.018e-02 | loss_e9: 9.085e-02 | loss_e10: 2.954e-01 | loss_e11: 2.052e-01 | loss_e12: 2.521e-01 | loss_e13: 3.570e-01 | loss_e14: 7.652e-01 | loss_e15: 9.101e-01 | loss_e16: 8.569e-01 | loss_e17: 9.231e-01 | loss_e18: 7.902e-01 | loss_e19: 6.020e-01 | loss_e20: 5.901e-01
