Number of learnable parameters: 50402
train_leads.py sm --device cuda:0
Calling the run method
[1][1/1000][1/1] | loss: 3.609e+00 | loss_train: 6.805e-01 | loss_e0: 7.158e+00 | loss_e1: 7.159e+00 | loss_e2: 3.172e+00 | loss_e3: 2.424e+00 | loss_e4: 9.359e-01 | loss_e5: 8.031e-01
[2][2/1000][1/1] | loss: 2.404e+00 | loss_train: 6.403e-01 | loss_e0: 5.340e+00 | loss_e1: 4.995e+00 | loss_e2: 1.804e+00 | loss_e3: 1.331e+00 | loss_e4: 6.112e-01 | loss_e5: 3.423e-01
[3][3/1000][1/1] | loss: 1.774e+00 | loss_train: 6.055e-01 | loss_e0: 4.201e+00 | loss_e1: 3.683e+00 | loss_e2: 1.070e+00 | loss_e3: 7.858e-01 | loss_e4: 6.028e-01 | loss_e5: 2.995e-01
[4][4/1000][1/1] | loss: 1.407e+00 | loss_train: 5.732e-01 | loss_e0: 3.410e+00 | loss_e1: 2.809e+00 | loss_e2: 6.584e-01 | loss_e3: 5.157e-01 | loss_e4: 6.912e-01 | loss_e5: 3.541e-01
[5][5/1000][1/1] | loss: 1.173e+00 | loss_train: 5.416e-01 | loss_e0: 2.824e+00 | loss_e1: 2.196e+00 | loss_e2: 4.261e-01 | loss_e3: 3.944e-01 | loss_e4: 7.960e-01 | loss_e5: 4.042e-01
[6][6/1000][1/1] | loss: 1.017e+00 | loss_train: 5.205e-01 | loss_e0: 2.372e+00 | loss_e1: 1.754e+00 | loss_e2: 2.944e-01 | loss_e3: 3.458e-01 | loss_e4: 8.909e-01 | loss_e5: 4.449e-01
[7][7/1000][1/1] | loss: 9.076e-01 | loss_train: 4.797e-01 | loss_e0: 2.011e+00 | loss_e1: 1.428e+00 | loss_e2: 2.166e-01 | loss_e3: 3.303e-01 | loss_e4: 9.726e-01 | loss_e5: 4.870e-01
[8][8/1000][1/1] | loss: 8.273e-01 | loss_train: 4.502e-01 | loss_e0: 1.725e+00 | loss_e1: 1.193e+00 | loss_e2: 1.663e-01 | loss_e3: 3.131e-01 | loss_e4: 1.037e+00 | loss_e5: 5.284e-01
[9][9/1000][1/1] | loss: 7.650e-01 | loss_train: 4.226e-01 | loss_e0: 1.501e+00 | loss_e1: 1.025e+00 | loss_e2: 1.300e-01 | loss_e3: 2.844e-01 | loss_e4: 1.085e+00 | loss_e5: 5.646e-01
[10][10/1000][1/1] | loss: 7.140e-01 | loss_train: 3.975e-01 | loss_e0: 1.326e+00 | loss_e1: 9.059e-01 | loss_e2: 1.012e-01 | loss_e3: 2.471e-01 | loss_e4: 1.117e+00 | loss_e5: 5.866e-01
[11][11/1000][1/1] | loss: 6.691e-01 | loss_train: 3.663e-01 | loss_e0: 1.193e+00 | loss_e1: 8.225e-01 | loss_e2: 7.784e-02 | loss_e3: 2.071e-01 | loss_e4: 1.130e+00 | loss_e5: 5.849e-01
